"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Angola","AGO","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","13.6643564934827","","","","","","","9.38106566313735","8.22580212780947","9.81314328021136","6.97465224441031","8.18450948274822","7.14292121989031","","","","0.416865098757942","0.486946665068001","0.1700634386693","0.164998932514936","","","","","","","","","0.00186685103667046","","","","","","","","","","","","","","","","","0.000749818069113222","","0.000464839405761505","0.000379226345312959","","","0.00197435994220663","0.00844073976962238","0.0286536684540127","",
"Angola","AGO","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","46.1117873572","29.2990105075","47.283151262","49.1591031612","51.4218166424","59.7984702714","45.3623580883","100.8116696609","63.1365378731","79.3436867823","74.6024992589","71.4722684092","91.6101449623","104.0213889682","103.3362950287","100","93.8448061984","117.9597580642","116.701522216","130.8485901829","168.1822799095","187.0942141888","229.0805067097","251.3648221253","244.3994215507","241.9053895069","228.2449702704","238.2143122679","236.4793382179","228.8260262157","227.8084099398","",
"Angola","AGO","Net barter terms of trade index (2000 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","118.8679245283","85.2941176471","84.9315068493","106.6666666667","121.3114754098","94.2528735632","63.5761589404","66.6666666667","61.7021276596","68.5714285714","80.7692307692","86.5384615385","68.3168316832","44.3298969072","60","100","91.4672216441","92.4703516921","101.7262019568","121.6479841753","166.6673169017","189.2932815288","199.8290856956","240.3077547503","166.1917840747","200.8418085536","253.524574808","257.3388863648","252.636246817","229.8092153787","149.2302056035","",
"Angola","AGO","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","5.4140127388535","2.27272727272727","3.72208436724566","1.35013501350135","3.23992994746059","2.96606879416104","3.75381426679717","4.02471802696022","4.67902995720399","6.13862775361302","4.52101798280939","4.22540882934471","4.76721221720342","3.12219480524903","5.77894487298722","6.00403410492196","2.090824931198","0.702359728611675","0.436180691595489","0.906556290751166","1.19582766925948","2.15330531664407","1.7664759546949","1.24244734051534","0.727670475238017","0.924034968113293","0.804789141215497","0.751051935170269","0.782106448387262","0.466660162658742","","",
"Angola","AGO","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","41.8853503184713","44.1398601398601","41.9255583126551","31.1935193519352","34.2136602451839","38.2858917617828","31.096551327077","33.3636176280492","31.3241084165478","21.9929844254244","18.2193889532541","17.8730346651388","18.6396433390039","13.2311250840254","18.0124733300509","13.7115526899905","12.3585386897077","17.2380788329157","27.3444841034176","20.4792355342916","21.3243410026753","23.7131822913218","20.8792571955464","18.1936938791477","22.8194931053726","19.269994439591","16.1917088854017","20.9848780502085","22.3774876634463","22.7627445091871","","",
"Angola","AGO","Commercial service imports (current US$)","TM.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","628000000","572000000","403000000","1111000000","1142000000","1287900000","1736900000","1853546000","1402000000","1425400000","1664979000","1738317000","2045640000","2395110000","2193480000","2270640000","3175780000","2765907583.91","2774308958","4284520155.7","6191176740.86326","6860023952.396","11997403773.13","20451514006.59","18210381473.38","16027654938.47","22415039241.9153","21151471540.1452","21269494706.7234","24229928194.6318","","",
"Angola","AGO","Computer, communications and other services (% of commercial service imports)","TM.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","49.4267515923567","50.1958041958042","51.0272952853598","64.1719171917192","59.2872154115587","56.103191241556","62.3360009211814","59.8365511295646","61.6385877318117","69.3236284551705","74.5656852128465","75.1026999103156","73.7612678672689","80.8213401472166","73.4308040191841","77.5072226332664","82.61812845978","77.4360897580045","66.2059504477151","73.1652618632119","75.5476049837513","68.0054038870606","72.6175497928338","70.6124540762441","72.2021509236927","73.0208711203214","80.7971870566523","76.8325263425291","72.4266752008611","74.6861873578379","","",
"Angola","AGO","Import value index (2000 = 100)","TM.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","43.6780928505","55.2208744173","38.9075870782","32.3506091442","41.3224500002","46.0929557725","35.7294432326","42.8687518712","45.138854618","44.0202532645","51.9228428266","44.3229336307","65.4062661416","48.1195982247","47.8399478863","48.2894736842","67.1052631579","85.4276315789","68.3881578947","102.2697368421","100","104.5723684211","123.6842105263","180.2631578947","191.8421052632","274.7697368421","288.7368421053","449.375","690.1973684211","745.3914473684","548.2523026316","665.4078947368","780.1611842105","866.5776644737","940.3551315789","712.6228025471","",
"Angola","AGO","Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)","TM.VAL.MRCH.WR.ZS","2.66666666666667","3.69718309859155","4.36713545521836","4.70668485675307","4.33455433455433","4.41705187467899","4.65451055662188","3.89799635701275","4.93186242699546","5.25788515295278","6.12245451635132","5.91778250264885","6.00572580871312","7.63945445366136","11.5984803039392","","","","","","","0.792331072152233","0.706697284627298","7.69554193862024","2.63452971298208","1.65965866287411","0.867354093240369","1.28188731663885","1.1798107930871","1.31132185477487","2.16041729146249","0.94178230574058","6.42476272669633","8.33057282442297","9.44192328579758","10.0478670406082","20.1774899604291","9.61171437395159","11.8509438640471","11.4701332807757","19.9182368551039","13.0081224732032","14.6473385088783","12.449472113678","8.50312286943826","8.17217206655872","7.4258324744284","7.39024165084745","5.25592737499265","5.15398125170355","6.2047281563289","6.76353375518318","6.61043128881316","5.80040560606891","4.83030075134483","","",
"Angola","AGO","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","127500000","113600000","135100000","146600000","163800000","194700000","208400000","274500000","308200000","328402000","368594000","421881000","392259000","542722000","625125000","","","","","","","1598220800","975092250.4566","800698162.93","1012897682.664","1425713902.953","1057641662.078","1204755665.939","1396322855.099","1468583809.555","1722857012.591","1846698066.432","2632457377.55","1450831352.133","1450546468.252","1891133352.298","2078384331.813","2524421797.751","2230347573.958","2238873559.405","2200680590.365","3442919695.092","3056416572.962","4463381566.624","7042021953.782","8214688492.013","11306178303.34","13108677614.04","21485439677.4","17480487575.02","15190968974.75","17272150997.72","21021562659","22231892694","27731929959","","",
